Source,Target,Weight
2,2,30
2,9,118
2,16,67
2,15,30
2,6,1103
2,11,511
2,18,625
2,4,667
2,19,697
2,13,271
2,5,3437
2,23,247
2,22,338
2,14,373
2,10,172
2,8,594
2,12,181
2,25,1492
2,3,3783
2,1,168
2,20,88
2,17,21
2,24,1660
2,26,1086
2,7,124
2,0,13878
2,21,94
16,9,1
16,6,3
16,18,1
16,19,1
16,13,2
16,5,5
16,14,1
16,25,3
16,3,4
16,24,2
16,26,1
16,0,18
6,2,1
6,9,10
6,16,1
6,15,2
6,6,74
6,11,13
6,18,18
6,4,12
6,19,11
6,13,16
6,5,55
6,23,2
6,22,7
6,14,10
6,10,10
6,8,33
6,12,10
6,25,14
6,3,84
6,1,10
6,20,2
6,17,1
6,24,40
6,26,14
6,7,10
6,0,144
6,21,2
11,9,5
11,16,1
11,6,8
11,11,12
11,18,3
11,4,3
11,19,2
11,13,2
11,5,18
11,23,1
11,22,4
11,14,4
11,10,2
11,8,9
11,12,3
11,25,8
11,3,26
11,1,1
11,20,1
11,24,1
11,26,2
11,7,2
11,0,41
18,2,2
18,9,7
18,6,56
18,11,19
18,18,68
18,4,27
18,19,42
18,13,17
18,5,153
18,23,12
18,22,18
18,14,14
18,10,10
18,8,18
18,12,11
18,25,50
18,3,163
18,1,8
18,20,4
18,24,37
18,26,45
18,7,3
18,0,506
18,21,6
4,6,27
4,11,4
4,18,1
4,4,9
4,19,2
4,13,1
4,5,50
4,22,8
4,14,3
4,8,5
4,12,2
4,25,16
4,3,68
4,1,2
4,20,1
4,24,19
4,26,14
4,7,1
4,0,105
4,21,4
19,2,1
19,9,7
19,16,2
19,15,1
19,6,8
19,11,12
19,18,29
19,4,5
19,19,39
19,13,8
19,5,98
19,23,9
19,22,10
19,14,10
19,10,6
19,8,11
19,12,1
19,25,16
19,3,62
19,1,1
19,20,1
19,24,15
19,26,12
19,0,146
19,21,5
13,2,1
13,9,4
13,16,1
13,15,1
13,6,12
13,11,11
13,18,28
13,4,13
13,19,19
13,13,15
13,5,32
13,23,3
13,22,4
13,14,5
13,10,4
13,8,23
13,12,5
13,25,9
13,3,44
13,1,3
13,24,17
13,26,20
13,7,7
13,0,134
13,21,2
5,2,10
5,9,41
5,16,14
5,15,3
5,6,434
5,11,82
5,18,223
5,4,207
5,19,164
5,13,69
5,5,1736
5,23,71
5,22,67
5,14,93
5,10,60
5,8,123
5,12,33
5,25,417
5,3,1360
5,1,34
5,20,16
5,17,4
5,24,320
5,26,287
5,7,41
5,0,2960
5,21,17
23,2,2
23,6,5
23,11,1
23,18,5
23,19,1
23,13,1
23,5,6
23,22,3
23,8,1
23,12,1
23,25,6
23,3,10
23,24,2
23,26,4
23,0,38
22,6,4
22,11,2
22,18,7
22,4,2
22,19,11
22,13,3
22,5,21
22,23,5
22,22,7
22,14,3
22,10,2
22,8,6
22,25,8
22,3,14
22,1,1
22,20,3
22,24,6
22,26,6
22,0,35
10,2,6
10,9,20
10,16,4
10,15,3
10,6,96
10,11,68
10,18,80
10,4,55
10,19,76
10,13,33
10,5,355
10,23,26
10,22,25
10,14,40
10,10,18
10,8,62
10,12,14
10,25,137
10,3,350
10,1,20
10,20,5
10,17,1
10,24,172
10,26,112
10,7,9
10,0,1344
10,21,10
8,9,9
8,15,3
8,6,32
8,11,17
8,18,22
8,4,27
8,19,13
8,13,7
8,5,83
8,23,1
8,22,1
8,14,9
8,10,10
8,8,29
8,12,8
8,25,17
8,3,68
8,1,6
8,20,3
8,17,3
8,24,27
8,26,18
8,7,12
8,0,160
8,21,2
12,11,1
12,13,1
12,5,2
12,10,1
12,8,1
12,12,1
12,25,1
12,3,1
12,26,1
12,0,2
25,2,1
25,9,48
25,16,17
25,15,1
25,6,167
25,11,80
25,18,180
25,4,120
25,19,99
25,13,57
25,5,920
25,23,63
25,22,70
25,14,64
25,10,47
25,8,110
25,12,34
25,25,814
25,3,1139
25,1,19
25,20,19
25,17,6
25,24,678
25,26,451
25,7,24
25,0,3355
